"occurrenceID","basisOfRecord","eventDate","decimalLatitude","decimalLongitude","occurrenceStatus","countryCode","geodeticDatum","institutionCode","georeferenceProtocol","samplingProtocol","scientificName","scientificNameID","kingdom","taxonRank","coordinateUncertaintyInMeters","parentEventID"
"CCES_Drift-10_2018-08-23T05:05:12_ZC","MachineObservation","2018-08-23T05:05:12Z/2018-08-23T05:05:16Z",36.72499,-125.04156,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-24T13:25:03_ZC","MachineObservation","2018-08-24T13:25:03Z/2018-08-24T13:26:33Z",36.57795,-125.01273,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-24T19:25:25_ZC","MachineObservation","2018-08-24T19:25:25Z/2018-08-24T19:25:31Z",36.55189,-125.0141,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-24T21:46:01_ZC","MachineObservation","2018-08-24T21:46:01Z/2018-08-24T21:46:43Z",36.53938,-125.00598,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-25T06:05:41_ZC","MachineObservation","2018-08-25T06:05:41Z/2018-08-25T06:06:21Z",36.48165,-124.99664,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-25T08:05:24_ZC","MachineObservation","2018-08-25T08:05:24Z/2018-08-25T08:05:24Z",36.47364,-124.99646,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-25T20:05:32_ZC","MachineObservation","2018-08-25T20:05:32Z/2018-08-25T20:05:32Z",36.41527,-124.95059,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-26T02:05:59_ZC","MachineObservation","2018-08-26T02:05:59Z/2018-08-26T02:06:44Z",36.3878,-124.91974,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-26T07:44:58_ZC","MachineObservation","2018-08-26T07:44:58Z/2018-08-26T07:46:15Z",36.36352,-124.90694,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-26T08:04:55_ZC","MachineObservation","2018-08-26T08:04:55Z/2018-08-26T08:06:52Z",36.35917,-124.90709,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-27T01:44:57_ZC","MachineObservation","2018-08-27T01:44:57Z/2018-08-27T01:45:33Z",36.27095,-124.81692,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-27T06:24:55_ZC","MachineObservation","2018-08-27T06:24:55Z/2018-08-27T06:24:55Z",36.24928,-124.7925,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-27T11:45:49_ZC","MachineObservation","2018-08-27T11:45:49Z/2018-08-27T11:46:34Z",36.22512,-124.76379,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-27T23:06:08_ZC","MachineObservation","2018-08-27T23:06:08Z/2018-08-27T23:06:08Z",36.17009,-124.67915,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-28T02:25:14_ZC","MachineObservation","2018-08-28T02:25:14Z/2018-08-28T02:26:41Z",36.15639,-124.64078,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-28T08:45:11_ZC","MachineObservation","2018-08-28T08:45:11Z/2018-08-28T08:45:44Z",36.12969,-124.58284,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-28T09:26:14_ZC","MachineObservation","2018-08-28T09:26:14Z/2018-08-28T09:26:47Z",36.1284,-124.57832,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-28T15:45:15_ZC","MachineObservation","2018-08-28T15:45:15Z/2018-08-28T15:45:18Z",36.11222,-124.51297,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-08-29T05:06:40_ZC","MachineObservation","2018-08-29T05:06:40Z/2018-08-29T05:06:45Z",36.09363,-124.3765,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-10T08:08:10_ZC","MachineObservation","2018-09-10T08:08:10Z/2018-09-10T08:08:14Z",36.60404,-123.16641,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-12T23:07:21_ZC","MachineObservation","2018-09-12T23:07:21Z/2018-09-12T23:07:21Z",36.5294,-122.82942,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-17T15:27:24_ZC","MachineObservation","2018-09-17T15:27:24Z/2018-09-17T15:28:47Z",35.86951,-122.72048,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-22T17:27:01_ZC","MachineObservation","2018-09-22T17:27:01Z/2018-09-22T17:27:21Z",36.10177,-122.87029,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-24T02:47:03_ZC","MachineObservation","2018-09-24T02:47:03Z/2018-09-24T02:48:45Z",35.92879,-122.89294,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-24T10:47:39_ZC","MachineObservation","2018-09-24T10:47:39Z/2018-09-24T10:48:19Z",35.89243,-122.93739,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-24T11:07:13_ZC","MachineObservation","2018-09-24T11:07:13Z/2018-09-24T11:08:50Z",35.89243,-122.93739,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-25T18:47:19_ZC","MachineObservation","2018-09-25T18:47:19Z/2018-09-25T18:47:47Z",35.90569,-123.12241,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-25T19:08:19_ZC","MachineObservation","2018-09-25T19:08:19Z/2018-09-25T19:08:43Z",35.90627,-123.12288,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-25T22:27:53_ZC","MachineObservation","2018-09-25T22:27:53Z/2018-09-25T22:28:55Z",35.92088,-123.13515,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-26T01:27:10_ZC","MachineObservation","2018-09-26T01:27:10Z/2018-09-26T01:28:56Z",35.92707,-123.13927,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-26T01:46:58_ZC","MachineObservation","2018-09-26T01:46:58Z/2018-09-26T01:48:04Z",35.93867,-123.14719,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-26T19:07:46_ZC","MachineObservation","2018-09-26T19:07:46Z/2018-09-26T19:07:48Z",36.01051,-123.19556,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-26T19:27:22_ZC","MachineObservation","2018-09-26T19:27:22Z/2018-09-26T19:27:25Z",36.01077,-123.19606,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-26T23:46:59_ZC","MachineObservation","2018-09-26T23:46:59Z/2018-09-26T23:48:54Z",36.03709,-123.19885,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-27T06:07:01_ZC","MachineObservation","2018-09-27T06:07:01Z/2018-09-27T06:07:15Z",36.0555,-123.18547,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
