Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date Time	Begin Hour	Species	Notes
1	Spectrogram 1	1	42300.302826271	42367.802795021	265.060	590.361	2021/6/11  16:24:22.3028	16	Hmp	
2	Spectrogram 1	1	43425.785464395	43457.946466455	271.084	596.386	2021/6/11  17:01:01.7855	17	Hmp	
3	Spectrogram 1	1	52824.200550847	52826.997159722	0.000	343.373	2021/6/11  22:12:42.2006	22	Gray	High SNR
4	Spectrogram 1	1	52769.361518185	52772.793719986	0.000	427.711	2021/6/11  22:11:47.3615	22	Gray	
5	Spectrogram 1	1	52856.488691208	52859.285300082	0.000	341.053	2021/6/11  22:13:14.4887	22	Gray	
6	Spectrogram 1	1	52881.149696740	52886.234440148	12.632	480.000	2021/6/11  22:19:38.1497	22	Gray	
7	Spectrogram 1	1	53605.980161311	53677.039450447	69.474	568.421	2021/6/11  22:43:39.9802	22	Hmp	
8	Spectrogram 1	1	63953.132546669	64003.725743585	138.947	612.632	2021/6/12  4:23:04.1325	4	Hmp	
9	Spectrogram 1	1	66700.268143067	66816.581648540	56.842	644.211	2021/6/12  5:56:34.2681	5	HmpSng	
10	Spectrogram 1	1	67688.793559145	67722.352865643	151.579	511.579	2021/6/12  6:24:58.7936	6	Hmp	
11	Spectrogram 1	1	68161.827296787	68195.259484699	69.474	454.737	2021/6/12  6:44:46.8273	6	Hmp	
12	Spectrogram 1	1	71367.632397363	71412.759495115	221.053	707.368	2021/6/12  8:31:52.6324	8	Hmp	
13	Spectrogram 1	1	94595.284827860	94643.717008828	126.316	663.158	2021/6/12  21:20:39.2848	21	Hmp	
14	Spectrogram 1	1	107579.437192385	107645.920212453	195.789	1237.895	2021/6/13  4:31:44.4372	4	HmpSng	
15	Spectrogram 1	1	108550.420077036	108576.860742761	176.842	1282.105	2021/6/13  4:59:50.4201	4	HmpSng	
16	Spectrogram 1	1	108793.572656839	108837.682805909	94.737	1654.737	2021/6/13  5:09:51.5727	5	HmpSng	
17	Spectrogram 1	1	119373.530260829	119416.114986876	151.579	947.368	2021/6/13  10:59:08.5303	10	Hmp	
18	Spectrogram 1	1	120866.869060852	120917.080902013	94.737	1111.579	2021/6/13  11:47:52.8691	11	HmpSng	
19	Spectrogram 1	1	122269.445357698	122308.597881944	132.632	568.421	2021/6/13  12:35:06.4454	12	Hmp	
20	Spectrogram 1	1	124389.809091161	124438.368390713	44.211	682.105	2021/6/13  13:46:13.8091	13	Hmp	
21	Spectrogram 1	1	141693.681986464	141744.402301966	94.737	429.474	2021/6/13  23:20:52.6820	23	Hmp	
22	Spectrogram 1	1	150873.224309557	150923.309032133	176.842	637.895	2021/6/14  4:22:56.2243	4	Hmp	
23	Spectrogram 1	1	152274.910776306	152345.461591102	94.737	581.053	2021/6/14  5:10:09.9108	5	Hmp	
24	Spectrogram 1	1	167272.393692208	167321.715703272	138.947	1913.684	2021/6/14  13:24:36.3937	13	HmpSng	
25	Spectrogram 1	1	172166.588591631	172295.741074211	0.000	1458.947	2021/6/14  16:09:40.5886	16	HmpSoc	Grunts and thwops
26	Spectrogram 1	1	171905.638993232	171919.876274776	0.000	909.474	2021/6/14  15:59:21.6390	15	HmpSoc	
27	Spectrogram 1	1	198921.757238171	199015.952109816	56.842	505.263	2021/6/15  6:56:54.7572	6	Hmp	
28	Spectrogram 1	1	199253.511471869	199333.977536311	132.632	707.368	2021/6/15  7:08:23.5115	7	Hmp	
29	Spectrogram 1	1	230232.757050671	230258.816360640	246.316	644.211	2021/6/16  0:11:40.7571	0	Hmp	
30	Spectrogram 1	1	264653.205826153	264707.866817797	138.947	593.684	2021/6/16  19:12:05.2058	19	Hmp	
31	Spectrogram 1	1	303078.476831450	303082.290389007	18.947	808.421	2021/6/17  16:24:54.4768	16	Other	fish
