id	type	modified	language	license	datasetID	institutionCode	ownerInstitutionCode	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	waterBody	country	countryCode	stateProvince	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferenceProtocol
Station_95_Date_09JAN1997:14:35:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_95_Date_09JAN1997:14:35:00.000	Bag Seine	0.03	hectares	120 seconds	1997-01-09 14:35:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.6	28.134722	-97.008333	WGS84	100	Handheld GPS
Station_95_Date_18AUG2000:11:02:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_95_Date_18AUG2000:11:02:00.000	Bag Seine	0.03	hectares	120 seconds	2000-08-18 11:02:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.5	28.135278	-97.007222	WGS84	100	Handheld GPS
Station_96_Date_28JUN2005:08:41:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_28JUN2005:08:41:00.000	Bag Seine	0.03	hectares	120 seconds	2005-06-28 08:41:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.6	28.134444	-96.996111	WGS84	100	Handheld GPS
Station_96_Date_23AUG2006:11:47:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_23AUG2006:11:47:00.000	Bag Seine	0.03	hectares	120 seconds	2006-08-23 11:47:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.4	28.134444	-96.996111	WGS84	100	Handheld GPS
Station_96_Date_17OCT2006:14:23:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_17OCT2006:14:23:00.000	Bag Seine	0.03	hectares	120 seconds	2006-10-17 14:23:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.7	0.8	28.134444	-96.996111	WGS84	100	Handheld GPS
Station_96_Date_19FEB1996:10:27:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_19FEB1996:10:27:00.000	Bag Seine	0.03	hectares	120 seconds	1996-02-19 10:27:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.134722	-96.995833	WGS84	100	Handheld GPS
Station_96_Date_11JUN2001:14:12:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_11JUN2001:14:12:00.000	Bag Seine	0.03	hectares	120 seconds	2001-06-11 14:12:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.5	28.134722	-96.996111	WGS84	100	Handheld GPS
Station_96_Date_16MAR1992:09:46:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_16MAR1992:09:46:00.000	Bag Seine	0.03	hectares	120 seconds	1992-03-16 09:46:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.134722	-96.997222	WGS84	100	Handheld GPS
Station_96_Date_25SEP1996:11:28:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_25SEP1996:11:28:00.000	Bag Seine	0.03	hectares	120 seconds	1996-09-25 11:28:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.3	0.7	28.134722	-96.997222	WGS84	100	Handheld GPS
Station_96_Date_08MAY1997:13:20:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_08MAY1997:13:20:00.000	Bag Seine	0.03	hectares	120 seconds	1997-05-08 13:20:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.6	28.134722	-96.998611	WGS84	100	Handheld GPS
